DATA_ID,PRED_ID,LOC_ID,STA_ID,STA_NUM,STA_NAME,STA_TYPE,COORD_DATA_SOURCE,TIME_ZONE,START_STAT_LAT,START_STAT_LONG,START_STAT_DEP,START_STAT_SAMP_DEP,START_YEAR,START_MON,START_DAY,START_TIME,START_SEAS,END_STAT_LAT,END_STAT_LONG,END_STAT_DEP,END_STAT_SAMP_DEP,END_YEAR,END_MON,END_DAY,END_TIME,END_SEAS,REALM,PROVINCE,ECOREGION,HAB_SYSTEM,HAB_SUBSYSTEM,TIDAL_ZONE,SYS_CONF,STA_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_6G,Cfab.12,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,54,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.13,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,55,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.14,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,56,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.15,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,57,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.16,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,58,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.17,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,59,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.18,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,60,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.19,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,61,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.20,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,62,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.21,,,,Q296B,,,,NA,NA,NA,NA,1978,3,12,1615,,NA,NA,NA,NA,1978,3,12,1630,,TNA,WTNA,63,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.22,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,64,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.23,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,65,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.24,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,66,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.25,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,67,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.26,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,68,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.27,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,69,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.28,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,70,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
